I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:78] 2025-11-19 00:41:12.184 | PWD : /home/ubuntu/mako
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:273] 2025-11-19 00:41:12.184 | starting process 82316
I [/home/ubuntu/mako/src/deptran/config.cc:290] 2025-11-19 00:41:12.184 | LoadYML: /home/ubuntu/mako/examples/../config/1leader_2followers/paxos3_shardidx0.yml
I [/home/ubuntu/mako/src/deptran/config.cc:290] 2025-11-19 00:41:12.185 | LoadYML: /home/ubuntu/mako/examples/../config/occ_paxos.yml
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:282] 2025-11-19 00:41:12.185 | server_infos, number of sites: 3, proc_name: localhost
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:288] 2025-11-19 00:41:12.190 | parition id of each Paxos group is 2, site-name: s103, site-id: 8
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:288] 2025-11-19 00:41:12.196 | parition id of each Paxos group is 1, site-name: s102, site-id: 4
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:288] 2025-11-19 00:41:12.201 | parition id of each Paxos group is 0, site-name: s101, site-id: 0
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:294] 2025-11-19 00:41:12.201 | running machine-id: 0
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:88] 2025-11-19 00:41:12.201 | launching site: 0, bind address 0.0.0.0:7001
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:103] 2025-11-19 00:41:12.201 | waiting for server setup threads.
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:88] 2025-11-19 00:41:12.201 | launching site: 4, bind address 0.0.0.0:7002
I [/home/ubuntu/mako/src/deptran/paxos_main_helper.cc:88] 2025-11-19 00:41:12.201 | launching site: 8, bind address 0.0.0.0:7003
I [/home/ubuntu/mako/src/deptran/paxos_worker.cc:192] 2025-11-19 00:41:12.201 | [service]loc_id: 0, name: s102, proc: localhost, id: 4
I [/home/ubuntu/mako/src/deptran/paxos_worker.cc:192] 2025-11-19 00:41:12.202 | [service]loc_id: 0, name: s101, proc: localhost, id: 0
starting server at 0.0.0.0:7002
I [/home/ubuntu/mako/src/deptran/paxos_worker.cc:192] 2025-11-19 00:41:12.202 | [service]loc_id: 0, name: s103, proc: localhost, id: 8
starting server at 0.0.0.0:7003
